container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/18-12	37x28	12AWG	ETFE, extruded, thin wall	tin-coated copper	0.107in	2.02ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/18-12	37x28	12AWG	ETFE, extruded, thin wall	tin-coated copper	0.107in	2.02ohm/1000ft	150C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/18-12	37x28	12AWG	ETFE, extruded, thin wall	tin-coated copper	0.107in	2.02ohm/1000ft	150C	600V	3
