container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/16-18	19x30	18AWG	ETFE, extruded, medium wall	tin-coated copper	0.071in	6.23ohm/1000ft	150C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/16-18	19x30	18AWG	ETFE, extruded, medium wall	tin-coated copper	0.071in	6.23ohm/1000ft	150C	600V	2
conductors	white/orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/16-18	19x30	18AWG	ETFE, extruded, medium wall	tin-coated copper	0.071in	6.23ohm/1000ft	150C	600V	3
