container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/32-24	19x36	24AWG	crosslinked modified ETFE	tin-coated copper	0.037in	26.2ohm/1000ft	150C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/32-24	19x36	24AWG	crosslinked modified ETFE	tin-coated copper	0.037in	26.2ohm/1000ft	150C	600V	2
conductors	white/orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/32-24	19x36	24AWG	crosslinked modified ETFE	tin-coated copper	0.037in	26.2ohm/1000ft	150C	600V	3
conductors	white/green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/32-24	19x36	24AWG	crosslinked modified ETFE	tin-coated copper	0.037in	26.2ohm/1000ft	150C	600V	4
