library_pn,official_pin,mil_spec,slash_sheet,dash,common_name,gender,contacts,connector_type,density,shell_size,shell_letter,pin_count,contact_size,finish,finish_name,class
M24308_2-2T,M24308/2-2T,MIL-DTL-24308,2,2,DA-15,Receptacle,socket,Crimp,Standard,2,A,15,20,T,nickel fluorocarbon polymer,G
M24308_2-2Z,M24308/2-2Z,MIL-DTL-24308,2,2,DA-15,Receptacle,socket,Crimp,Standard,2,A,15,20,Z,zinc,G
M24308_2-3A,M24308/2-3A,MIL-DTL-24308,2,3,DB-25,Receptacle,socket,Crimp,Standard,3,B,25,20,A,pure electrodeposited aluminum,G
M24308_2-3F,M24308/2-3F,MIL-DTL-24308,2,3,DB-25,Receptacle,socket,Crimp,Standard,3,B,25,20,F,cadmium,G
M24308_2-3K,M24308/2-3K,MIL-DTL-24308,2,3,DB-25,Receptacle,socket,Crimp,Standard,3,B,25,20,K,zinc nickel,G
M24308_2-3T,M24308/2-3T,MIL-DTL-24308,2,3,DB-25,Receptacle,socket,Crimp,Standard,3,B,25,20,T,nickel fluorocarbon polymer,G
M24308_2-3Z,M24308/2-3Z,MIL-DTL-24308,2,3,DB-25,Receptacle,socket,Crimp,Standard,3,B,25,20,Z,zinc,G
M24308_2-4A,M24308/2-4A,MIL-DTL-24308,2,4,DC-37,Receptacle,socket,Crimp,Standard,4,C,37,20,A,pure electrodeposited aluminum,G
M24308_2-4F,M24308/2-4F,MIL-DTL-24308,2,4,DC-37,Receptacle,socket,Crimp,Standard,4,C,37,20,F,cadmium,G
M24308_2-4K,M24308/2-4K,MIL-DTL-24308,2,4,DC-37,Receptacle,socket,Crimp,Standard,4,C,37,20,K,zinc nickel,G
M24308_2-4T,M24308/2-4T,MIL-DTL-24308,2,4,DC-37,Receptacle,socket,Crimp,Standard,4,C,37,20,T,nickel fluorocarbon polymer,G
M24308_2-4Z,M24308/2-4Z,MIL-DTL-24308,2,4,DC-37,Receptacle,socket,Crimp,Standard,4,C,37,20,Z,zinc,G
M24308_2-5A,M24308/2-5A,MIL-DTL-24308,2,5,DD-50,Receptacle,socket,Crimp,Standard,5,D,50,20,A,pure electrodeposited aluminum,G
M24308_2-5F,M24308/2-5F,MIL-DTL-24308,2,5,DD-50,Receptacle,socket,Crimp,Standard,5,D,50,20,F,cadmium,G
M24308_2-5K,M24308/2-5K,MIL-DTL-24308,2,5,DD-50,Receptacle,socket,Crimp,Standard,5,D,50,20,K,zinc nickel,G
M24308_2-5T,M24308/2-5T,MIL-DTL-24308,2,5,DD-50,Receptacle,socket,Crimp,Standard,5,D,50,20,T,nickel fluorocarbon polymer,G
M24308_2-5Z,M24308/2-5Z,MIL-DTL-24308,2,5,DD-50,Receptacle,socket,Crimp,Standard,5,D,50,20,Z,zinc,G
M24308_2-11A,M24308/2-11A,MIL-DTL-24308,2,11,DE-15 HD,Receptacle,socket,Crimp,High,1,E,15,22,A,pure electrodeposited aluminum,G
