container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81044/12-14	19x27	14AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.089in	3.06ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81044/12-14	19x27	14AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.089in	3.06ohm/1000ft	150C	600V	2
