container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	2
