part_number,rev,specification,conductors,gauge_awg,stranding,basic_wire_symbol,component_wire_spec,component_wire_pn,insulation_material,conductor_material,conductor_od_in,conductor_resistance_ohm_per_1000ft,identification_method,identification_color_table,identification_marking,wire_identification_colors,shield_code,shield_description,shield_material,shield_style,shield_coverage,shield_temperature_c,jacket_code,jacket_description,jacket_material,jacket_color,jacket_construction,jacket_temperature_c,core_od_in_estimated,overall_od_in_estimated,temperature_rating_c,voltage_rating_v,path
M27500-12MH2U14,1,MIL-DTL-27500,2,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue,U,no shield,,,,,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.257,0.285,150,600,M27500-12MH2U14/M27500-12MH2U14-rev1
M27500-12MH2U23,1,MIL-DTL-27500,2,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue,U,no shield,,,,,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.257,0.285,150,600,M27500-12MH2U23/M27500-12MH2U23-rev1
M27500-12MH3S00,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,00,no jacket,,,,,0.277,0.297,150,600,M27500-12MH3S00/M27500-12MH3S00-rev1
M27500-12MH3S09,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.277,0.325,150,600,M27500-12MH3S09/M27500-12MH3S09-rev1
M27500-12MH3S14,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.277,0.325,150,600,M27500-12MH3S14/M27500-12MH3S14-rev1
M27500-12MH3S23,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.277,0.325,150,600,M27500-12MH3S23/M27500-12MH3S23-rev1
M27500-12MH3T00,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,00,no jacket,,,,,0.277,0.297,150,600,M27500-12MH3T00/M27500-12MH3T00-rev1
M27500-12MH3T09,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.277,0.325,150,600,M27500-12MH3T09/M27500-12MH3T09-rev1
M27500-12MH3T14,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.277,0.325,150,600,M27500-12MH3T14/M27500-12MH3T14-rev1
M27500-12MH3T23,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.277,0.325,150,600,M27500-12MH3T23/M27500-12MH3T23-rev1
M27500-12MH3U00,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,U,no shield,,,,,00,no jacket,,,,,0.277,0.277,150,600,M27500-12MH3U00/M27500-12MH3U00-rev1
M27500-12MH3U09,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,U,no shield,,,,,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.277,0.305,150,600,M27500-12MH3U09/M27500-12MH3U09-rev1
M27500-12MH3U14,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,U,no shield,,,,,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.277,0.305,150,600,M27500-12MH3U14/M27500-12MH3U14-rev1
M27500-12MH3U23,1,MIL-DTL-27500,3,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange,U,no shield,,,,,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.277,0.305,150,600,M27500-12MH3U23/M27500-12MH3U23-rev1
M27500-12MH4S00,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,00,no jacket,,,,,0.310,0.330,150,600,M27500-12MH4S00/M27500-12MH4S00-rev1
M27500-12MH4S09,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.310,0.358,150,600,M27500-12MH4S09/M27500-12MH4S09-rev1
M27500-12MH4S14,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.310,0.358,150,600,M27500-12MH4S14/M27500-12MH4S14-rev1
M27500-12MH4S23,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.310,0.358,150,600,M27500-12MH4S23/M27500-12MH4S23-rev1
M27500-12MH4T00,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,00,no jacket,,,,,0.310,0.330,150,600,M27500-12MH4T00/M27500-12MH4T00-rev1
M27500-12MH4T09,1,MIL-DTL-27500,4,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.310,0.358,150,600,M27500-12MH4T09/M27500-12MH4T09-rev1
