container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	2
conductors	white/orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	3
conductors	white/green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	4
conductors	white/red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	5
conductors	white/black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	6
conductors	white/yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	7
conductors	white/violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M81044/12-20	19x32	20AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	tin-coated copper	0.055in	9.88ohm/1000ft	150C	600V	8
