container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0031lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0031lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0031lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0031lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	4
