container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	6
conductors	yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M22759/16-22	19x34	22AWG	ETFE, extruded, medium wall	0.0037lbs/ft	M22759/16 slash-sheet max weight, lbs/1000 ft (Glenair, https://cdn.glenair.com/wire-and-cable/pdf/b/m22759-16.pdf)	tin-coated copper	0.052in	16.2ohm/1000ft	150C	600V	7
