container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/32-20	19x32	20AWG	crosslinked modified ETFE	0.0043lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.050in	9.88ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/32-20	19x32	20AWG	crosslinked modified ETFE	0.0043lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.050in	9.88ohm/1000ft	150C	600V	2
