container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/18-16	19x29	16AWG	ETFE, extruded, thin wall	tin-coated copper	0.070in	4.81ohm/1000ft	150C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/18-16	19x29	16AWG	ETFE, extruded, thin wall	tin-coated copper	0.070in	4.81ohm/1000ft	150C	600V	2
conductors	white/orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/18-16	19x29	16AWG	ETFE, extruded, thin wall	tin-coated copper	0.070in	4.81ohm/1000ft	150C	600V	3
conductors	white/green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/18-16	19x29	16AWG	ETFE, extruded, thin wall	tin-coated copper	0.070in	4.81ohm/1000ft	150C	600V	4
