container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/33-24	19x36	24AWG	crosslinked modified ETFE	0.0020lbs/ft	M22759/33 slash-sheet weight, lbs/1000 ft, from Glenair M27500-xxSC2U00 pairs in https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf	silver-coated high-strength copper alloy	0.037in	28.4ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/33-24	19x36	24AWG	crosslinked modified ETFE	0.0020lbs/ft	M22759/33 slash-sheet weight, lbs/1000 ft, from Glenair M27500-xxSC2U00 pairs in https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf	silver-coated high-strength copper alloy	0.037in	28.4ohm/1000ft	200C	600V	2
