container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M81044/12-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket, light wall	0.0073lbs/ft	M81044/12 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m8104412/)	tin-coated copper	0.065in	6.23ohm/1000ft	150C	600V	6
