container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	6
conductors	yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	7
conductors	violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M81381/13-22	19x34	22AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	silver-coated high-strength copper alloy	0.049in	17.5ohm/1000ft	200C	600V	8
