container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/33-20	19x32	20AWG	crosslinked modified ETFE	silver-coated high-strength copper alloy	0.050in	10.7ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/33-20	19x32	20AWG	crosslinked modified ETFE	silver-coated high-strength copper alloy	0.050in	10.7ohm/1000ft	200C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/33-20	19x32	20AWG	crosslinked modified ETFE	silver-coated high-strength copper alloy	0.050in	10.7ohm/1000ft	200C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/33-20	19x32	20AWG	crosslinked modified ETFE	silver-coated high-strength copper alloy	0.050in	10.7ohm/1000ft	200C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M22759/33-20	19x32	20AWG	crosslinked modified ETFE	silver-coated high-strength copper alloy	0.050in	10.7ohm/1000ft	200C	600V	5
