container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	3
